"MealId","Name","Rating","Description","PreparationTime","CookTime","Instructions","Yield","YieldUnitId","Servings","Ethnicity","Source","Type","ChillTime"
10,"Chicken and Dumplings",0,,12:35:00 AM,12:40:00 AM,"Coat chicken with flour.  In a large saucepan, brown chicken in oil.  Add celery, carrot, parsley, salt, garlic powder, thyme and pepper.  Add enough water to cover. Bring to boil.  Reduce heat; cover and simmer for 25-30 minutes or until chicken is tender.  Remove chicken and vegetables to a serving dish; keep warm.  Set askide 1/4 cup broth; cool.  Bring remaining broth to a simmer.  For dumplings, combine the flour, baking powder and salt; stir in egg and reserved broth just until moistened.  Drop batter in four mounds onto simmering broth.  Cover and simmer for 5-7 minutes or until a toothpick in dumpling comes out clean (do not remove cover while simmering).  

Remove the dumplings and keep warm.  For gravy, transfer 1-1/3 cups broth to a small saucepan (save remaining broth for another use).  Bring to a boil.  Combine the flour, salt and water until smooth; stir into broth.  Bring to a boil; cook and stir for 2 minutes or until thickened.  Pour over chicken, vegetables and dumplings.  Serve immediately.",,,2,"American","Cooking for Two","Main Dish",
11,"Cheese Souffles",0,,12:15:00 AM,12:20:00 AM,"In a saucepan, melt butter.  Whisk in flour until smooth; gradually add milk. Bring to a boil over medium heat; cook and stir for 1-2 minutes or until thickened.  Reduce heat; stir in cheese until melted.  Remove from the heat.  Beat egg yolks.  Stir in a small amount of hot mixture into yolks; return all to the pan, stirring constantly.  Cool slightly.  In a small mixing bowl, beat egg whites until stiff peaks form.  Fold into egg yolk mixture.  Pour into two 8-oz. ramekins or custard cups coated with nonstick cooking spray.  Bake at 350° for 20-25 minutes or until a knife inserted near the center comes out clean.  Serve immediately.",,,2,"American","Cooking for Two","Breakfast",
12,"Spinach Dip",0,,12:10:00 AM,,"In a microwave-safe bowl, combine spinach and water.  Cover and microwave on high for 45-60 seconds or until wilted; drain.  Cool slightly and squeeze dry.  In a small bowl, combine the water chestnuts, sour cream, mayonnaise, soup mix, onion and spinach.  Chill for at least 1 hour.  Serve with crackers.",1,"cup",2,"American","Cooking for Two","Appetizer",
13,"Apple Cream Cheese Tart",0,,12:30:00 AM,12:30:00 AM,"In a small mixing bowl, cream butter and sugar; beat in vanilla.  Stir in flour.  Press onto the bottom and 1"" up the sides of a 6"" springform pan coated with nonstick cooking spray; set aside.  

For filling, in a small mixing bowl, beat the cream cheese, egg and vanilla.  Pour over crust.  In a bowl, combine the apple, sugar and cinnamon; arrange over filling.  Sprinkle with almonds.  Place pan on a baking sheet.  Bake at 350° for 30-35 minutes or until apples are tender.  Cool on a wire rack.  Remove sides of pan.  Refrigerate leftovers.",,,4,"Mexican","Cooking for Two","Dessert",
14,"Lemon-Raspberry Ribbon Pie",0,,12:30:00 AM,,"In a small bowl, combine graham cracker crumbs, sugar and butter; press onto the bottom and up the sides of a 7"" pie plate coated with nonstick cooking spray.  Bake at 350° for 7 minutes.  Cool on a wire rack.  

In a small saucepan, combine cornstarch and raspberries.  Bring to a boil; cook and stir for 1-2 minutes or until thickened.  Transfer to a bowl; cover surface with plastic wrap.  Refrigerate until chilled.  

In a small bowl, combine milk and lemon juice; fold in whipped cream.  Spread a third of the cream mixture into crust; cover with raspberry mixture.  Top with remaining cream mixture.  Chill for 1-2 hours before serving.  Refrigerate leftovers.",,,4,"American","Cooking for Two","Dessert",01:00:00 AM
15,"Crunchy Golden Chicken",0,,12:30:00 AM,,"Place yogurt and cornflaces in sparate shallow bowls.  Dip chicken in yogurt, then roll in cornflakes.  Place in a baking dish coated with nonstick cooking spray.  Sprinkle with seasoned salt.  Bake, uncovered, at 350° for 20-25 minutes or until juices are clear.",,,2,"American","Cooking for Two","Main Dish",
16,"Creamed Dill Potatoes",0,,12:25:00 AM,,"With a vegetable peeler, remove a strip of peel around the middle of each potato.  Place potatoes in a saucepan and cover with water.  Bring to a boil.  Reduce heat; cover and cook for 15-20 minutes or until tender.  

Meanwhile, in a small saucepan, saute onion in butter until tender.  Add the cream, dill, salt and pepper.  Reduce heat; simmer for 4-5 minutes or until sauce is thickened.  Drain potatoes; drizzle with sauce and toss gently.",,,2,"American","Cooking for Two","Side Dish",
17,"German Chocolate Swirl Cheesecake",0,,12:10:00 AM,12:25:00 AM,"In a small mixing bowl, beat cream cheese and sugar until smooth.  Add egg; beat on low speed just until combined.  Stir in vanilla.  Transfer 1/3 cup to another bowl; stir in melted chocolate until well blended.  Spread remaining cream cheese mixture into a 7"" pie plate coated with nonstick cooking spray.  Top with chocolate mixture; cut through batter with a knife to swirl.  

Place pan on a baking sheet.  Bake at 350° for 25-30 minutes or until center is almost set.  Cool on a wire rack for 15 minutes.  Carefully run a knife around edge of pan to loosen.  Refrigerate at least 1 hour before serving.  Refrigerate leftovers.",,,4,"German","Cooking for Two","Dessert",01:00:00 AM
18,"Chicken Spaghetti Bake",0,,12:15:00 AM,12:20:00 AM,"Cook spaghetti according to package directions.  Meanwhile, in a small skillet, saute the green pepper, onion and garlic in butter until tender.  In a large bowl, combine the green pepper mixture, chicken, tomato sauce, soup, mushrooms, Worcestershire sauce, hot pepper sauce and pepper.  

Drain spaghetti; stir into chicken mixture.  Transfer to a 1-qt. baking dish coated with nonstick cooking spray.  Bake, uncovered, at 350° for 20-25 minutes or until heated through.  Sprinkle with Parmesan cheese.",,,2,"American","Cooking for Two","Main Dish",
19,"Meatball Sub Casserole",0,,12:25:00 AM,12:25:00 AM,"In a small bowl, combine the onion, bread crumbs and Parmesan cheese.  Add beef and mix well.  Shape into 1"" balls; place on a rack in a shallow baking pan.  Bake at 400° for 8-10 minutes or until no longer pink.  

Meanwhile, arrange bread in a single layer in an ungreased shallow 3-cup baking dish.  Combine the cream cheese, mayonnaise, Italian seasoning and pepper; spread over bread.  Sprinkle with 1/3 cup mozzarella cheese.  

In a bowl, combine the spaghetti sauce, water and garlic; add meatballs.  Pour over bread.  Sprinkle with remaining mozarella.  Bake, uncovered, at 350° for 25-30 minutes or until heated through.",,,3,"American","Cooking for Two","Main Dish",
20,"Cheddar Bacon Penne",0,,12:30:00 AM,,"Cook pasta according to package directions.  Meanwhile, in a small nonstick skillet coated with nonstick cooking spray, saute onion and garlic until tender; set aside.  

In a small saucepan, melt butter.  Stir in flour until smooth; gradually add milk.  Bring to a boil; cook and stir for 1-2 minutes or until thickened.  Stir in 1 cup cheese until melted.  Drain pasta.  

Add pasta, bacon and onion mixture to the sauce; stir to coat.  Transfer to a 3-cup baking dish coated with nonstick cooking spray.  Sprinkle with remaining cheese.  Bake, uncovered, at 350° for 15-20 minutes or until cheese is melted.",,,2,"American","Cooking for Two","Main Dish",
21,"Stovetop Meat Loaves",0,,12:20:00 AM,12:15:00 AM,"In a small bowl, combine the milk, oats, onion and salt.  Crumble beef over mixture and mix well.  Shape into two loaves.  In a small nonstick skillet, brown loaves on both sides; drain.  

Combine the cornstarch, tomato sauce and water until smooth.  Pour over meat loaves.  Bring to a boil.  Reduce heat to medium-low; cover and cook for 15-20 minutes or until meat is no longer pink.",,,2,"American","Cooking for Two","Main Dish",
22,"Breakfast Pizza",0,,12:20:00 AM,12:20:00 AM,"Separate crescent dough into four triangles; arrange on an ungreased 7 1/2"" round pizza pan with points toward the center.  Press onto the bottom of pan, building up edges slightly; seal perforations.  

In a small skillet, cook sausage over medium heat until no longer pink; drain.  Sprinkle over the crust.  Top with potatoes, peppers and cheddar cheese.  

In a small bowl, whisk the eggs, milk and pepper.  Pour over pizza; sprinkle with Parmesan cheese.  Bake at 375° for 20-25 minutes or until eggs are completely set and top is golden brown.  Cut into slices.",,,2,"American","Cooking for Two","Breakfast",
23,"Beef over Noodles",0,,12:15:00 AM,05:05:00 AM,"In a small skillet, brown beef and onion in oil; drain.  Transfer to a 1 1/2 qt slow cooker.  In a small bowl, combine 1/2 cup water, ketchup, brown sugar, Worcestershire sauce, paprika and mustard; pour over meat.  Cover and cook on low for 5 hours or until meat is tender.  

Combine the flour and remaining water until smooth; stir into meat mixture.  Cook 30 minutes longer or until thickened.  Meanwhile, cook noodles according to package directions; drain.  Serve with beef.",,,2,"American","Cooking for Two","Main Dish",
24,"Noodles Romanoff",0,"Add beef tips to make into main dish",12:20:00 AM,,"Cook noodles according to package directions.  Meanwhile, in small bowl, combine the sour cream, butter, Parmesan cheese, seasoning blend, garlic powder and pepper.  Drain noodles; return to pan.  Add sour cream mixture and toss to coat; heat through.  Sprinkle with chives",,,1,"American","Cooking for Two","Main Dish",
25,"Pecan French Toast (overnight)",0,"Make the night before",12:10:00 AM,12:35:00 AM,"In a small saucepan, combine the brown sugar, butter and corn syrup; cook over medium heat until thickened, about 3 minutes.  Pour into an ungreased 8"" square baking dish; sprinkle with pecans.  Top with bread.  

In a bowl, whisk the eggs, milk, vanilla and salt; pour over bread.  Cover and refrigerate overnight.  

Remove from the refrigerator 30 minutes before baking.  Bake, uncovered, at 350° for 35-40 minutes or until a thermometer reads 160°.  Invert onto a serving platter.",,,2,"American","Cooking for Two","Breakfast",08:00:00 AM
26,"Potato Vegetable Soup",0,,12:20:00 AM,12:35:00 AM,"In a small saucepan, cook bacon over medium heat until crisp.  Using a slotted spoon, remove to paper towels; drain.  

In the same pan, combine the potato, carrot, water, celery, onioin, salt and pepper.  Bring to a boil.  Reduce heat; cover and simmer for 15 minutes or until vegetables are tender.  

In a small bowl, combine flour and milk until smooth; stir into vegetable mixture.  Bring to boil; cook and stir for 2 minutes or until thickened.  Reduce heat.  Add cheese and butter; stir until cheese is melted.  Garnish with bacon.",,,2,"American","Cooking for Two","Soup",
27,"Freezer Mashed Potatoes",0,"To use frozen potatoes: Thaw in the refrigerator.  Bake as directed.",12:30:00 AM,12:30:00 AM,"Place the potatoes in a large saucepan and cover with water.  Bring to boil.  Reduce heat; cover and cook for 15-20 minutes or until tender.  Drain.  In a large mixing bowl, mash potatoes with butter.  Beat in the sour cream, cream cheese, onion powder, salt and pepper.  Transfer to 1-1/2 cups to a 2-cup baking dish coated with nonstick cooking spray.  Bake, uncovered, at 350° for 30-35 minutes or until heated through.  Cool remaining mashed potatoes.  Freeze in 1-1/2 cup portions for up to 6 months.",,,14,"American","Cooking for Two","Side Dish",
28,"Honey-Mustard Chicken Pasta",0,,12:25:00 AM,,"Cook pasta according to package directions.  Meanwhile, in a large skillet, cook bacon over medium heat until crisp.  Using a slotted spoon, remove to paper towels.  Drain, reserving 1 Tbs. drippings.  In the drippings, saute mushrooms and onioin until tender.  Add garlic; saute for 1 minute.  

Stir in the chicken, peas, soup, milk, mustard, honey, parsley, salt, pepper and bacon.  Cook and stir over medium heat until heated through.  Drain pasta; add to skillet and toss to coat.  Sprinkle with Parmesan cheese.",,,2,"American","Cooking for Two","Main Dish",
29,"Parmesan-Crusted Chicken",0,"Could substitute pineapple or lime juice for lemon juice.  Also could add some cayenne to the flour.",12:15:00 AM,12:20:00 AM,"In a shallow bowl, combine the flour, salt and garlic powder.  In another bowl, beat the egg.  Place the Parmesan cheese in third bowl.  Coat chicken in the flour mixture, then dip in egg and roll in cheese.  

In a skillet, brown chicken in oil on both sides.  Transfer to a shallow 1-qt. baking dish coated with nonstick cooking spray; drizzle with lemon juice.  Bake, uncovered, at 350° for 18-20 minutes or until juices run clear",,,2,"American","Cooking for Two","Main Dish",
30,"Rosemary Pot Roast",0,,12:15:00 AM,08:00:00 AM,"In a large skillet, brown beef in oil on both sides.  Transfer to a 1-1/2 qt. slow cooker.  In a small bowl, combine the broth, tomato sauce, wine or addtional broth, onion, garlic, parsley, rosemary, salt and pepper; pour over beef.  Cover and cook on low for 8 hours or until meat is tender.  Remove beef and keep warm.  

In a small saucepan, combine cornstarch and water until smooth; stir in cooking juices.  Bring to a boil; cook and stir for 2 minutes or until thickened.  Serve with beef.",,,2,"American","Cooking for Two","Main Dish",
31,"Swiss Potato Gratin",0,,12:15:00 AM,12:20:00 AM,"In a saucepan, combine the potatoes, milk, cream, salt, garlic, nutmeg and pepper.  Bring to a boil over medium heat, stirring occasionally.  Pour into a 3-cup baking dish coated with nonstick cooking spray.  Sprinkle with cheese.  Bake, uncovered, at 425° for 20-25 minutes or until heated through and golden brown.",,,2,"American","Cooking for Two","Side Dish",
32,"Baked Chicken with Milk Gravy",0,,12:20:00 AM,12:20:00 AM,"In a small bowl, combine 5 tsp. flour, salt, mustard and 1.8 tsp. pepper.  Brush chiken with lemon juice, then sprinkle both sides with flour mixture.  Place in an 11""x7""x2"" baking dish coated with nonstick cooking spray.  

Arrange tomato, onion and mushrooms around chicken.  Dot with butter; sprinkle with remaining pepper.  Bake at 425° for 20-25 minutes or until chicken juice runs clear.  

Remove chicken and vegetables; keep warm.  Pour pan drippings and loosened browned bits into a small saucepan.  Stir milk into remaining flour until smooth; gradually stir into saucepan.  Bring to a boil; cook and stir for 2 minutes or until thickened.  Serve over chicken and vegetables.",,,2,"American","Cooking for Two","Main Dish",
33,"Tangy Roast Beef Sandwiches",0,,12:15:00 AM,05:00:00 AM,"Place the roast in a 1-1/2 qt. slow cooker; add water.  Cover and cook on high for 3 hours or until meat is tender.  Remove roast; set aside 1/3 cup cooking juices.  Shred meat with two forks and return to the slow cooker.  In a small skillet, saute onion and celery in butter.  

Stir in the ketchup, lemon juice, brown sugar, vinegar, Worcestershire sauce, slat, pepper and reserved cooking juices.  Add to slow cooker.  Cook on low for 2-3 hours or until heated through and flavors and blended.  Serve on buns.",,,3,"American","Cooking for Two","Sandwich",
34,"Homestyle Chicken Soup",0,,12:15:00 AM,06:10:00 AM,"In a 1-1/2 qt. slow cooker, combine the first eight ingredients.  Cover and cook on low for 6 hours.  Discard bay leaf.  Stir in noodles; cover and cook on high for 10 minutes.",,,4,"American","Cooking for Two","Slow Cooker",
35,"Slow-cooked Meat Loaf",0,"Serve with hot mashed potatoes",12:15:00 AM,05:00:00 AM,"In a small bowl, combine soup and water until blended.  Pour half into a 1-1/2 qt. slow cooker.  Cover and refrigerate remaining soup mixture.  

In a bowl, combine the egg, bread crumbs, Parmesan cheese, parsley, garlic powder, onion powder, salt and pepper.  Crumble beef over mixture and mix well.  Shape into a loaf; place in slow cooker.  

Cover and cook on low for 5 hours or until meat reads 160°.  For gravy, place reserved soup mixture in a small saucepan; cook over low heat until heated through.  Serve with meat loaf.",,,2,"American","Cooking for Two","Slow Cooker",
36,"Raspberry Cream Tarts",0,,12:30:00 AM,12:15:00 AM,"In a small wide-bottom bowl, sprinkle gelatin over 1 Tbs. milk; let stand for 2 minutes.  In a small saucepan, combine sugar, flour and salt.  Gradually whisk in remaining milk until smooth.  Cook and stir over medium-high heat until thickened and bubbly.  Reduce heat; cook and stir 2 minutes longer.  Remove from heat.  Stir a small amount of hot filling into egg yolk; return all to the pan, stirring constantly.  Bring to a gentle boil; cook and stir 2 minutes longer.  Remove from the heat.  Stir a small amount of hot liquid into gelatin mixture.  Stir until gelatin is dissolved; return to pan.  Stir in extract.  Cover and cool at room temperature without stirring, about 30 minutes.  

For crust, in small bowl, combine flour, sugar and salt; blend in butter with a wooden spoon until smooth.  Press onto the bottom and up the sides of two 4"" tart pans with removable bottoms coated with nonstick cooking spray.  Bake at 375° for 12-15 minutes or until golden brown.  Cool on wire rack.  In a small mixing bowl, beat cream until it begins to thicken.  Add confectioners' sugar; gbeat until soft peaks form.  Fold into filling mixture.  Spoon into tart shells.  Cover and chill for at least 1 hour.  To with raspberries.",,,2,"American","Cooking for Two","Dessert",01:00:00 AM
37,"Peachy Blueberry Cobblers",0,,12:10:00 AM,12:30:00 AM,"In a small bowl, combine the flour, sugar, baking powder and salt.  Combine the milk and butter; stir into dry ingredients until smooth.  Pour into two 8-oz. ramekins or custard cups coated with nonstick cooking spray.  Top with peaches and blueberries.  Bake at 350° for 30-35 minutes or until fruit is tender.  Serve warm.",,,2,"American","Cooking for Two","Dessert",
38,"Zucchini Muffins",0,,12:20:00 AM,12:25:00 AM,"In a bowl, combine the first six ingredients.  Combine the egg and oil; stir into dry ingredients just until moistened.  Fold in the zucchini, walnuts and currants.  Fill muffin cups 3/4th full with batter.  Bake at 350° for 22-25 minutes or until toothpick comes out clean.  Cool for 5 minutes before removing from pan to wire rack.",6,"muffins",,"American","Cooking for Two","Dessert",
39,"Chili-cheese corn muffins",0,,12:30:00 AM,,"In a bowl, combine the corn bread mix, egg and milk just until blended.  Stir in cheese and chilies.  Coat muffin cups with nonstick cooking spray or use paper liners; fill 3/4ths full with batter.  Bake at 400° for 20-22 minutes or until a toothpick comes out clean.  Cool for 5 minutes before removing from pan to wire rack.  Serve warm.",8,"muffins",,"American","Cooking for Two","Breads",
40,"Cheesy Onion Biscuits",0,,12:25:00 AM,,"Place onion in a small microwave-safe bowl; cover and microwave on high for 1-2 minutes or until tender.  In a small bowl, combine the flour, baking powder, baking soda and salt.  Cut in shortening until mixture resembles coarse crumbs.  Stir in the cheese and onion.  Stir in buttermilke just until moistened.  

Turn onto a lightly floured surface; knead 8-10 times.  Pat or roll out into a 4"" circle; cut into four wedges.  Place 2"" apart on a baking sheet coated with nonstick cooking spray.  Bake at 450° for 8-12 minutes or until golden brown.  Serve warm.",4,"biscuits",,"American","Cooking for Two","Breads",
41,"Cinnamon-Raisen Buttermilk Biscuits",0,,12:30:00 AM,,"In a bowl, combine the flour, sugar, baking powder and cinnamon; cut in shortening until crumbly.  Stir in buttermilk just until moistened.  Turn onto a lightly floured surface.  Sprinkle raisins over dough; knewad 2 or 3 times.  Pat to 3/4"" thickness.  Cut with a floured 2-1/2"" biscuit cutter.  Place on an ungreased baking sheet.  Bake at 400° for 12-15 minutes or until golden brown.  Combine glaze ingredients; drizzle over biscuits.  Serve warm.",4,"biscuits",,"American","Cooking for Two","Breakfast",
42,"Cherry Delight Dessert",0,,12:20:00 AM,,"In a bowl, combine the graham cracker crumbs, confectioners' sugar and butter.  Press onto the bottom of an 8""x4""x2"" loaf pan coated with nonstick cooking spray.  In a small mixing bowl, beat cream cheese and confectioners' sugar until smooth; fold in whipped topping.  Spread over crust.  Spoon pie filling over top.  Refrigerate for 1 hour or until chilled.",,,6,"American","Cooking for Two","Dessert",01:00:00 AM
43,"Chicken with Cranberry Sauce",0,,12:30:00 AM,,"Flatten chicken to 1/2"" thickness.  In a shallow bowl, combine flour, 1/8 tsp. salt and pepper.  Coat chicken with flour mixture.  In a nonstick skillet, cook chicken in oil for 4-5 minutes on each side or until juices run clear.  Remove chicken and keep warm.  

In the same skillet, bring broth to a boil; scrape up any browned bits.  Stir in the cranberries, brown sugar, vinegar and remaining salt.  Combine cornstarch and water until smooth; stir into cranberry mixture.  Bring to a boil; cook and stir for 1 minute or until thickened.  Return chicken to pan and heat through.",,,2,"American","Cooking for Two","Main Dish",
44,"Pilgrim Pudding",0,,12:10:00 AM,,"In a large mixing bowl, combine milk and pumpkin.  Add pudding mix; whisk for 2 minutes or until slightly thickened.  Let stand for 2 minutes or until soft-set.  Fold in 1/2 cup whipped topping.  Spoon into two dessert dishes.  Garnish with remaining whipped topping; drizzle with caramel topping and sprinkle with almonds.",,,2,"American","Cooking for Two","Dessert",
45,"Dutch Potatoes",0,,12:30:00 AM,,"In a small skillet, saute onion in butter for 8-10 minutes or until golden brown.  Meanwhile, place potatoes and carrots in a large saucpan and cover with water.  Bring to a boil.  Reduce heat; cover and cook for 10-15 minutes or until tender.  Drain.  In a small mixing bowl, mash potatoes and carrots.  Beat in onion, sour cream and salt.  Sprinkle with chives.",,,2,"American","Cooking for Two","Side Dish",
46,"Cinnamon Apple Wraps",,,12:20:00 AM,12:30:00 AM,"In a bowl, combine flour and salt; cut in shortening until crumbly.  Gradually add water, tossing with a fork until a ball forms.  

On a lightly floured surface, roll out pastry into a 10"" square; brush with 1 Tbs butter.  Fold into thirds.  Roll into a 10""x6"" rectangle; cut lenthwise into four strips.  Brush with butter.  Combine sugar and cinnamon; sprinkle half over the strips.  Place an apple wedge on each; wrap pastry around apple.  

Line a baking sheet with foil and coat the foil with nonstick cooking spray.  Place wraps on prepared pan.  Brush with remaining butter; sprinkle with remaining cinnamon-sugar.  Bake at 400° for 28-32 minutes or until golden brown.  Serve warm.",,,2,"American","Cooking for Two","Dessert",
47,"Banana Layer Cake",0,,12:15:00 AM,12:25:00 AM,"In a small mixing bowl, beat shortening and sugar until crumbly, about 2 minutes.  Add egg yolks; beat well.  Add banana; beat on low speed until blended.  Combine the flour, baking powder, salt and baking soda; add to banana mixture alternately with buttermilk.  

In a small mixing bowl, beat egg whits until soft peaks form; fold into batter.  Coat two 6"" round baking pans with nonstick cooking spray and dust with flour.  Add batter.  Bake at 375° for 23-25 minutes or until toothpick comes out clean.  Cool for 10 minutes before removing from pans to wire racks to cool completely.  

For frosting, in a small mixing bowl, combine shortening and butter.  Add 1/2 cup confectioners' sugar, salt and extract; mix well.  Stir in banana.  Beat in enough of remaining confectioners' sugar to achieve desired spreading consistency.  Spread between layers and over top and sides of cake.  Store in refrigerator.",,,6,"American","Cooking for Two","Dessert",
48,"Surprise Cinnamon Chiffon Cake",0,,12:25:00 AM,12:40:00 AM,"In a small mixing bowl, combine flour, 1/2 cup sugar, baking powder, cinnamon and salt.  Whisk the egg yolks, water, oil and vanilla; add to dry ingredients.  In another small mixing bowl, beat egg whits and cream of tartar on medium speed until soft peaks form.  Gradually add remaining sugar, 1 Tbs at a time, beating on high until stiff peaks form.  Fold into batter.  Gently spoon into an ungreased 7"" tube pan.  Cut through batter with a knife to remove air pockets. Bake on the lowest oven rack at 350° for 40-50 minutes or until top springs back when lightly touched.  Immediately invert pan; cool completely, about 1 hour.  Run a knife around the side and center tube of pan.  Remove cake.  Cut a 3/4"" slice from top of cake; set aside.  Using a sharp kinfe, carve a tunnel out of cake, leaving a 1"" thick wall on all sides; carefully remove cake from tunnel (discard cake from tunnel or save for another use).  

For filling, in a small mixing bowl, beat cream, confectioners' sugar and vanilla until soft peaks form.  Set aside 2/3rds of mixture.  Fold remaining cream mixture into the strawberries; spoon into tunnel.  Replace cake top.  Frost top and sides of cake with reserved cream mixture.",,,8,"American","Cooking for Two","Dessert",
49,"Frozen Raspberry Cheesecake",0,,12:15:00 AM,,"In a small bowl, combine the cookie crumbs and butter.  Press onto the bottom of a 4"" springform pan coated with nonstick cooking spray.  Freeze for 10 minutes.  In a small bowl, combine the cream cheese, milk and lemon juice until blended.  Spread over crust.  Freeze for 2 hours or until firm.  Spread sherbet over cream cheese layer; freeze 2 hours longer.  Top with rasperries.",,,2,"American","Cooking for Two","Dessert",02:00:00 AM
